scenario_id,session_id,mode,deal_count,max_days,policy,status,turns,actions_submitted,buy_count,hold_count,sell_count,forecast_winner,brier_winner,ml_brier,market_brier,fng_brier,ml_abs_error,market_abs_error,fng_abs_error,fng_pnl,agent_pnl
scenario_0025,game_0f9eadc670ff534d,team,1,30,hold_ml,settled,30,30,3,27,0,market,market,0.249448304704,0.23617837936515645,0.249448304704,0.499448,0.4859818714367404,0.499448,-75,88.80446336732348
scenario_0026,game_0bee9b3f6247c682,focus,1,30,hold_ml,settled,30,30,3,27,0,ml,ml,0.249448304704,0.26058326324331865,0.249448304704,0.499448,0.510473567624533,0.499448,-75,63.418024277998484
scenario_0027,game_f691d6d33d790c19,silent,1,30,hold_ml,settled,30,30,0,30,0,ml,ml,0.249448304704,0.249448304704,0.249448304704,0.499448,0.499448,0.499448,0,0
scenario_0028,game_ab8f2a0d45787b84,team,3,30,hold_ml,settled,30,90,3,78,9,ml,ml,0.217930144448,0.21936103968343104,0.217930144448,0.46596,0.4675975315921465,0.46596,156.69690823956444,-161.19553663267652
scenario_0029,game_1802b88cb8d21050,focus,3,30,hold_ml,settled,30,90,3,86,1,ml,ml,0.217930144448,0.23092712051388486,0.217930144448,0.46596,0.4792468187092205,0.46596,-49.01115903189748,8.418024277998484
scenario_0030,game_46764229ca52e5fd,silent,3,30,hold_ml,settled,30,90,0,90,0,ml,ml,0.217930144448,0.22913494597343373,0.217930144448,0.46596,0.4774898791185476,0.46596,0,-35
scenario_0031,game_2342271a6f1d5490,team,5,30,hold_ml,settled,30,150,3,136,11,market,market,0.238473302441,0.23097250896047838,0.238473302441,0.48713619999999996,0.47989392811115783,0.48713619999999996,106.69690823956444,-67.70202033698297
scenario_0032,game_ff364735d598410d,focus,5,30,hold_ml,settled,30,150,3,144,3,market,market,0.238473302441,0.23616282824950133,0.238473302441,0.48713619999999996,0.48513742749310945,0.48713619999999996,-99.01115903189748,111.0083160859449
scenario_0033,game_f9a9a31380e18e01,silent,5,30,hold_ml,settled,30,150,0,150,0,ml,ml,0.238473302441,0.2385568500964379,0.238473302441,0.48713619999999996,0.4873704939688691,0.48713619999999996,0,-0.46125793830469775
scenario_0034,game_17fbac0764730558,team,10,30,hold_ml,settled,30,300,3,286,11,ml,ml,0.23792683460359995,0.24105089845612043,0.23792683460359995,0.486492,0.49016647576704075,0.486492,3.843253072909647,-36.86976933711776
scenario_0035,game_3bbbc2e70e366b71,focus,10,30,hold_ml,settled,30,300,3,294,3,market,market,0.23792683460359995,0.2371954450863476,0.23792683460359995,0.486492,0.4859220209202858,0.486492,-99.01115903189748,106.59953582690832
scenario_0036,game_bc84f365013cc49d,silent,10,30,hold_ml,settled,30,300,0,300,0,ml,ml,0.23792683460359995,0.23796860843131898,0.23792683460359995,0.486492,0.4866091469844346,0.486492,0,-0.46125793830469775
scenario_0037,game_c5c0f450ea569441,team,1,5,follow_market,settled,5,5,1,4,0,ml,ml,0.249448304704,0.2690254283812611,0.28619373463394304,0.499448,0.5186766125258214,0.5349707792337288,-25,4.630496540949025
scenario_0038,game_88df665acced0e7d,focus,1,5,follow_market,settled,5,5,1,4,0,market,market,0.249448304704,0.22578481895963012,0.23943359146823157,0.499448,0.4751682007033195,0.4893195187893403,-25,49.630496540949025
scenario_0039,game_eb241808360fb57d,silent,1,5,follow_market,settled,5,5,1,4,0,ml,ml,0.249448304704,0.27347008686911434,0.29100414470399993,0.499448,0.5229436746621134,0.5394479999999999,-25,0
scenario_0040,game_bc0a1d6119c9fb5d,team,3,5,follow_market,settled,5,15,4,11,0,ml,ml,0.217930144448,0.23410802090615032,0.22717189052770612,0.46596,0.4825933826562225,0.4710756811712242,-15.250574172205233,-35.369503459050975
scenario_0041,game_40ea60db74f949f9,focus,3,5,follow_market,settled,5,15,4,11,0,fng,fng,0.217930144448,0.21969448443227335,0.21158517613913563,0.46596,0.46809057871538845,0.4558585943564281,-15.250574172205233,9.630496540949025
scenario_0042,game_d3c7c13265c49f0a,silent,3,5,follow_market,settled,5,15,4,11,0,ml,ml,0.217930144448,0.2452251467613691,0.2409025524059759,0.46596,0.49318655564519825,0.4840979672118622,-15.250574172205233,-70
scenario_0043,game_17eef3fc3354696b,team,5,5,follow_market,settled,5,25,7,18,0,fng,fng,0.238473302441,0.23372520772280891,0.2215413968053071,0.48713619999999996,0.4826814644951972,0.4672329147337919,59.95825303712081,-35.369503459050975
scenario_0044,game_50f67d5ce32d6f24,focus,5,5,follow_market,settled,5,25,7,18,0,fng,fng,0.238473302441,0.22507708583848274,0.2121893681721648,0.48713619999999996,0.47397978213069686,0.4581026626449143,59.95825303712081,9.630496540949025
scenario_0045,game_a0a3e6d27879cef2,silent,5,5,follow_market,settled,5,25,7,18,0,fng,fng,0.238473302441,0.2343648157450547,0.22264193150723233,0.48713619999999996,0.48266746138880656,0.46720602279183493,56.87776945633232,-35.4612579383047
scenario_0046,game_b28af1ed4cffe567,team,10,5,follow_market,settled,5,50,14,32,4,ml,ml,0.23792683460359995,0.24160606186824,0.2508240556319711,0.486492,0.4892463270750569,0.49668085182289473,-68.08660577844421,30.535525761888493
scenario_0047,game_60f6d68350429a50,focus,10,5,follow_market,settled,5,50,14,32,4,ml,ml,0.23792683460359995,0.23898863797027237,0.24382843669020815,0.486492,0.48732574727596223,0.49112480809785913,-60.00377810023565,49.630496540949025
scenario_0048,game_e9baf867aaa1437f,silent,10,5,follow_market,settled,5,50,14,32,4,ml,ml,0.23792683460359995,0.24743932716018113,0.2528364057678587,0.486492,0.4954637417197662,0.4992732959263283,-63.084261681024145,-35.4612579383047
scenario_0049,game_9a729fde0110c919,team,1,15,follow_market,settled,15,15,3,12,0,market,market,0.249448304704,0.22149551817499086,0.2957891590186565,0.499448,0.4706331035690019,0.5438650191165603,-75,104.10453936818158
scenario_0050,game_947bbd1e5aad32df,focus,1,15,follow_market,settled,15,15,3,12,0,market,market,0.249448304704,0.2484614360540782,0.27040873634582746,0.499448,0.498459061562811,0.520008400264676,-75,76.02634822168511
scenario_0051,game_7b42cf0d8a7dbe8a,silent,1,15,follow_market,settled,15,15,3,12,0,market,market,0.249448304704,0.24221861849342957,0.30612091752540443,0.499448,0.49215710753115166,0.5532819512015591,-75,82.51953461323865
scenario_0052,game_940cdfdddf629b5f,team,3,15,follow_market,settled,15,45,11,31,3,ml,ml,0.217930144448,0.22389261524376922,0.2505726753040125,0.46596,0.471775774010552,0.4958783089915347,-82.68529659662818,64.10453936818158
scenario_0053,game_2be2d0785497be1a,focus,3,15,follow_market,settled,15,45,11,31,3,ml,ml,0.217930144448,0.2328812545367983,0.24211253441306954,0.46596,0.48105109334182167,0.48792610270757325,-82.68529659662818,36.02634822168511
scenario_0054,game_a1e0b499d5380725,silent,3,15,follow_market,settled,15,45,11,31,3,ml,ml,0.217930144448,0.22555018019279918,0.264659946279914,0.46596,0.47357410702941616,0.508075052729193,-80.46092266258711,56.76792930767988
scenario_0055,game_dc1d2cd509682ba7,team,5,15,follow_market,settled,15,75,17,52,6,market,market,0.238473302441,0.22928609903958694,0.23011349731537586,0.48713619999999996,0.4779118265364401,0.47606676718117297,-14.621318970239372,62.45678500676149
scenario_0056,game_3397719af0a7902e,focus,5,15,follow_market,settled,15,75,17,52,6,market,market,0.238473302441,0.23354026423308602,0.23365209332941692,0.48713619999999996,0.48232404988635713,0.4807426978583552,-10.345246511133155,36.02634822168511
scenario_0057,game_49c250e6c51fcf16,silent,5,15,follow_market,settled,15,75,17,52,6,market,market,0.238473302441,0.2241180950766155,0.24179068276122292,0.48713619999999996,0.4725823475117849,0.4870424876874253,-16.48076120427504,91.30667136937518
scenario_0058,game_920ccde53c01e380,team,10,15,follow_market,settled,15,150,33,106,11,ml,ml,0.23792683460359995,0.24688441971095973,0.24104221625271777,0.486492,0.4948315237348579,0.4859562157409846,-202.072503111458,108.5539247642555
scenario_0059,game_e7b2083b1c0def07,focus,10,15,follow_market,settled,15,150,33,106,11,ml,ml,0.23792683460359995,0.24270645594243953,0.2391327210358421,0.486492,0.49127566983270865,0.4859609239055728,-184.03722974867378,134.07492553060365
scenario_0060,game_de604ca842d7b020,silent,10,15,follow_market,settled,15,150,34,105,11,ml,ml,0.23792683460359995,0.23993423752719983,0.24161251731777006,0.486492,0.48799121048033295,0.4877611435177226,-189.40604369154244,168.08270802881452
scenario_0061,game_8dad736b11c48fbb,team,1,30,follow_market,settled,30,30,7,23,0,ml,ml,0.249448304704,0.2869264072467645,0.3236816809644915,0.499448,0.5356551196868788,0.5689302953477618,-175,135.95635285824756
scenario_0062,game_6e4433510b5724ab,focus,1,30,follow_market,settled,30,30,7,23,0,ml,ml,0.249448304704,0.27730800615679785,0.3140722076349972,0.499448,0.5266004236200327,0.560421455366403,-175,145.9987226362773
scenario_0063,game_84c32ac26cee65a5,silent,1,30,follow_market,settled,30,30,7,23,0,ml,ml,0.249448304704,0.25200553503316103,0.28871350779620736,0.499448,0.5020015289151628,0.5373206750127966,-175,172.3404690688585
scenario_0064,game_65d5a7e683a908a3,team,3,30,follow_market,settled,30,90,24,60,6,ml,ml,0.217930144448,0.24187662496700058,0.25034786210338916,0.46596,0.4898232995683256,0.49724590497576476,-269.9446404660648,195.11787273499067
